1534097422.9715848, [0.0420024420024420060.074236874236874240.9973137973137973] 
1534097423.079028, [0.044932844932844930.070329670329670330.9865689865689866] 
1534097423.1854935, [0.0468864468864468860.06739926739926740.968986568986569] 
1534097423.2917545, [0.043956043956043960.068376068376068380.9748473748473748] 
1534097423.3989933, [0.045909645909645910.063492063492063490.9611721611721612] 
1534097423.5049343, [0.043956043956043960.070329670329670330.968009768009768] 
1534097423.6107388, [0.043956043956043960.065445665445665450.9748473748473748] 
1534097423.7165356, [0.045909645909645910.064468864468864480.9748473748473748] 
1534097423.822289, [0.0468864468864468860.068376068376068380.9855921855921856] 
1534097423.9280455, [0.045909645909645910.068376068376068380.9709401709401709] 
1534097424.0350926, [0.045909645909645910.064468864468864481.0002442002442002] 
1534097424.1422832, [0.0468864468864468860.062515262515262520.9836385836385836] 
1534097424.24936, [0.047863247863247870.058608058608058610.96996336996337] 
1534097424.3572798, [0.043956043956043960.068376068376068380.9738705738705739] 
1534097424.4644105, [0.0468864468864468860.065445665445665450.9650793650793651] 
1534097424.5715816, [0.0410256410256410260.069352869352869360.9787545787545787] 
1534097424.6786897, [0.039072039072039070.064468864468864481.005128205128205] 
1534097424.7857823, [0.043956043956043960.069352869352869360.9826617826617826] 
1534097424.8929305, [0.044932844932844930.065445665445665450.9738705738705739] 
1534097425.002656, [0.0420024420024420060.061538461538461540.9836385836385836] 
1534097425.1099255, [0.043956043956043960.062515262515262520.9875457875457876] 
1534097425.2170157, [0.040048840048840050.065445665445665451.0021978021978022] 
1534097425.3241265, [0.043956043956043960.068376068376068380.968986568986569] 
1534097425.431383, [0.045909645909645910.070329670329670330.967032967032967] 
1534097425.5385633, [0.0410256410256410260.068376068376068380.9728937728937729] 
1534097425.6456542, [0.042979242979242980.061538461538461540.9621489621489622] 
1534097425.752802, [0.045909645909645910.062515262515262520.96996336996337] 
1534097425.8598719, [0.044932844932844930.064468864468864480.9846153846153847] 
1534097425.9670715, [0.044932844932844930.068376068376068380.9943833943833944] 
1534097426.0742874, [0.043956043956043960.069352869352869360.9846153846153847] 
1534097426.1822548, [0.045909645909645910.066422466422466420.9846153846153847] 
1534097426.289528, [0.0410256410256410260.06739926739926740.9601953601953602] 
1534097426.3967876, [0.0468864468864468860.058608058608058610.9904761904761905] 
1534097426.5040314, [0.043956043956043960.060561660561660560.9885225885225886] 
1534097426.611126, [0.044932844932844930.066422466422466420.9836385836385836] 
1534097426.718137, [0.0410256410256410260.07130647130647130.9797313797313797] 
1534097426.8252673, [0.045909645909645910.061538461538461540.9826617826617826] 
1534097426.9323761, [0.043956043956043960.068376068376068380.9797313797313797] 
1534097427.0394778, [0.043956043956043960.068376068376068380.9660561660561661] 
1534097427.1465373, [0.043956043956043960.066422466422466420.9758241758241758] 
1534097427.2536397, [0.045909645909645910.06739926739926740.9641025641025641] 
1534097427.3607333, [0.045909645909645910.066422466422466420.9748473748473748] 
1534097427.4678175, [0.043956043956043960.06739926739926740.9787545787545787] 
1534097427.5760913, [0.043956043956043960.07130647130647130.9826617826617826] 
1534097427.683294, [0.045909645909645910.065445665445665450.9894993894993895] 
1534097427.790388, [0.044932844932844930.065445665445665450.9865689865689866] 
1534097427.8976183, [0.043956043956043960.068376068376068380.968986568986569] 
1534097428.0947008, [0.045909645909645910.065445665445665450.9709401709401709] 
1534097428.2009356, [0.043956043956043960.068376068376068380.9865689865689866] 
1534097428.3066616, [0.045909645909645910.07130647130647130.9650793650793651] 
1534097428.4124599, [0.042979242979242980.062515262515262520.9758241758241758] 
1534097428.518338, [0.045909645909645910.065445665445665450.9816849816849816] 
1534097428.6732633, [0.0468864468864468860.066422466422466420.9807081807081807] 
1534097428.7796566, [0.044932844932844930.077167277167277170.9738705738705739] 
1534097428.8868468, [0.044932844932844930.068376068376068380.9787545787545787] 
1534097428.9941845, [0.0420024420024420060.065445665445665450.9758241758241758] 
1534097429.101543, [0.045909645909645910.062515262515262520.9601953601953602] 
1534097429.3128226, [0.043956043956043960.066422466422466420.9797313797313797] 
1534097429.4189355, [0.044932844932844930.07130647130647131.0021978021978022] 
1534097429.5247262, [0.0420024420024420060.070329670329670330.9797313797313797] 
1534097429.63059, [0.044932844932844930.066422466422466420.9777777777777777] 
1534097429.7364674, [0.047863247863247870.061538461538461540.9709401709401709] 
1534097429.8424628, [0.044932844932844930.062515262515262520.9826617826617826] 
1534097429.9482203, [0.045909645909645910.06739926739926740.9943833943833944] 
1534097430.0551817, [0.045909645909645910.065445665445665450.9738705738705739] 
1534097430.162385, [0.043956043956043960.065445665445665450.9758241758241758] 
1534097430.269513, [0.043956043956043960.059584859584859590.9787545787545787] 
1534097430.3767552, [0.042979242979242980.06739926739926740.9748473748473748] 
1534097430.4840267, [0.0468864468864468860.069352869352869360.96996336996337] 
1534097430.5991762, [0.044932844932844930.064468864468864480.9738705738705739] 
1534097430.705481, [0.0468864468864468860.064468864468864480.9787545787545787] 
1534097430.811269, [0.044932844932844930.06739926739926740.9816849816849816] 
1534097430.9170125, [0.044932844932844930.064468864468864480.9758241758241758] 
1534097431.022797, [0.0420024420024420060.072283272283272290.9963369963369964] 
1534097431.1285233, [0.048840048840048840.06739926739926740.9826617826617826] 
1534097431.2360806, [0.0410256410256410260.066422466422466420.9885225885225886] 
1534097431.3454025, [0.043956043956043960.065445665445665450.9787545787545787] 
1534097431.4526658, [0.042979242979242980.069352869352869360.9728937728937729] 
1534097431.559958, [0.0468864468864468860.060561660561660561.0002442002442002] 
1534097431.667266, [0.033211233211233210.06739926739926740.968009768009768] 
1534097431.7744868, [0.040048840048840050.0507936507936507940.9875457875457876] 
1534097431.8822622, [0.045909645909645910.070329670329670330.9631257631257631] 
1534097431.9893873, [0.042979242979242980.07130647130647130.9719169719169719] 
1534097432.096798, [0.042979242979242980.06739926739926740.9836385836385836] 
1534097432.2041423, [0.042979242979242980.06739926739926740.9768009768009768] 
1534097432.311506, [0.0420024420024420060.059584859584859590.9758241758241758] 
1534097432.4186323, [0.039072039072039070.06739926739926740.9846153846153847] 
1534097432.5265934, [0.045909645909645910.069352869352869360.9992673992673993] 
1534097432.6325073, [0.0420024420024420060.066422466422466420.9768009768009768] 
1534097432.7395334, [0.0468864468864468860.060561660561660560.968986568986569] 
1534097432.8454487, [0.042979242979242980.061538461538461540.96996336996337] 
1534097432.9529178, [0.044932844932844930.06739926739926740.9709401709401709] 
1534097433.0590947, [0.048840048840048840.066422466422466420.9777777777777777] 
1534097433.1649396, [0.043956043956043960.066422466422466420.9758241758241758] 
1534097433.2707014, [0.0468864468864468860.06739926739926740.9807081807081807] 
1534097433.3788536, [0.040048840048840050.066422466422466420.9846153846153847] 
1534097433.4859457, [0.044932844932844930.065445665445665450.967032967032967] 
1534097433.5935736, [0.044932844932844930.066422466422466420.9650793650793651] 
1534097433.7009614, [0.047863247863247870.061538461538461540.9885225885225886] 
1534097433.8081615, [0.0468864468864468860.068376068376068380.9787545787545787] 
1534097433.916311, [0.043956043956043960.063492063492063490.9816849816849816] 
1534097434.0225832, [0.0420024420024420060.06739926739926740.9768009768009768] 
1534097434.1284153, [0.043956043956043960.070329670329670330.9611721611721612] 
1534097434.2342854, [0.045909645909645910.064468864468864480.9846153846153847] 
1534097575.6030686, [0.043956043956043960.068376068376068380.9709401709401709] 
1534097575.7098129, [0.042979242979242980.068376068376068380.9553113553113554] 
1534097575.8159146, [0.043956043956043960.061538461538461540.9758241758241758] 
1534097575.9219508, [0.045909645909645910.07130647130647130.96996336996337] 
1534097576.027707, [0.043956043956043960.064468864468864480.9894993894993895] 
1534097576.1331627, [0.045909645909645910.062515262515262520.9875457875457876] 
1534097576.2388277, [0.042979242979242980.064468864468864480.9768009768009768] 
1534097576.3444362, [0.045909645909645910.061538461538461540.9787545787545787] 
1534097576.4501228, [0.042979242979242980.061538461538461540.9865689865689866] 
1534097576.5558434, [0.045909645909645910.068376068376068380.9768009768009768] 
1534097576.6626494, [0.044932844932844930.070329670329670330.9846153846153847] 
1534097576.7695265, [0.0468864468864468860.061538461538461540.9738705738705739] 
1534097576.8765035, [0.0420024420024420060.06739926739926740.9797313797313797] 
1534097576.983383, [0.044932844932844930.064468864468864480.9816849816849816] 
1534097577.0903063, [0.044932844932844930.065445665445665450.9719169719169719] 
1534097577.197112, [0.044932844932844930.066422466422466420.9787545787545787] 
1534097577.3039715, [0.0410256410256410260.064468864468864480.9719169719169719] 
1534097577.4108956, [0.040048840048840050.069352869352869360.9738705738705739] 
1534097577.51871, [0.0576312576312576350.068376068376068380.9807081807081807] 
1534097577.625576, [0.039072039072039070.068376068376068380.9904761904761905] 
1534097577.73247, [0.047863247863247870.07130647130647130.9709401709401709] 
1534097577.8393044, [0.045909645909645910.068376068376068380.9660561660561661] 
1534097577.9461465, [0.040048840048840050.065445665445665450.9826617826617826] 
1534097578.0530317, [0.047863247863247870.06739926739926740.9748473748473748] 
1534097578.1596677, [0.045909645909645910.068376068376068380.9807081807081807] 
1534097578.2665095, [0.043956043956043960.063492063492063490.9934065934065934] 
1534097578.3734095, [0.044932844932844930.060561660561660560.9826617826617826] 
1534097578.4803143, [0.044932844932844930.068376068376068380.9816849816849816] 
1534097578.587625, [0.044932844932844930.069352869352869360.9797313797313797] 
1534097578.6946316, [0.043956043956043960.068376068376068380.9738705738705739] 
1534097578.8014789, [0.040048840048840050.064468864468864480.9875457875457876] 
1534097578.908352, [0.042979242979242980.06739926739926740.9875457875457876] 
1534097579.0153196, [0.042979242979242980.073260073260073260.9787545787545787] 
1534097579.1223505, [0.0468864468864468860.068376068376068381.007081807081807] 
1534097579.2293682, [0.048840048840048840.069352869352869360.9709401709401709] 
1534097579.3362098, [0.05470085470085470.070329670329670330.9855921855921856] 
1534097579.443197, [0.031257631257631260.070329670329670330.9836385836385836] 
1534097579.5501542, [0.040048840048840050.065445665445665450.9797313797313797] 
